Country Name,Year,Age dependency ratio (% of working-age population),"Agriculture, value added (% of GDP)","Agriculture, value added (annual % growth)","Agriculture, value added (constant 2005 US$)","Borrowers from commercial banks (per 1,000 adults)","Contributing family workers, female (% of female employment)","Contributing family workers, male (% of male employment)","Contributing family workers, total (% of total employment)",Domestic credit provided by financial sector (% of GDP),Domestic credit to private sector (% of GDP)
China,2015,37.6684921504844,8.83272400747757,3.90284409383435,710254215384.675,344.440508700363,14.0059995651245,4.03299999237061,8.43099975585938,193.409580233901,152.55156517872
China,2016,38.549146051708,8.56294266093139,3.3,733692604492.369,383.703539785131,13.3299999237061,3.83699989318848,8.01500034332275,215.182680594683,156.820241860039
India,2000,64.2950707396344,21.8573679189033,-0.00761814574228481,211337538946.074,,33.5880012512207,12.423999786377,18.3330001831055,52.7888249897091,28.7226965659104
India,2001,63.5601874485198,21.8690478034929,6.00708957023757,224032774206.1,,43.4109992980957,15.2019996643066,23.1550006866455,54.5232908020573,29.006344546545
India,2002,62.7535314000319,19.7612880616122,-6.604234506845,209237124425.339,,44.4599990844727,14.7340002059937,23.2040004730225,58.7404861275961,32.7432667381437
India,2003,61.9000954612322,19.8056998927358,9.04858115820176,228170115442.053,,42.7389984130859,14.5150003433228,22.6219997406006,57.4251774340054,32.053846789767
India,2004,61.0240065067589,18.0194561290688,0.183381806366299,228588537921.339,,41.9039993286133,13.8570003509521,21.9930000305176,59.3857635292136,36.6811102450797
India,2005,60.139573756311,17.8422604189637,5.13966460686302,240337222100.227,,39.9850006103516,13.3400001525879,21.136999130249,60.1881241656919,40.636654690341
India,2006,59.4269879750094,17.3941157282415,4.15534738354207,250324068570.447,,38.1650009155273,12.7150001525879,19.9379997253418,62.7799008009891,44.5731705624783
India,2007,58.6927637320521,17.331462938814,5.79628223970059,264833558098.692,,35.9230003356934,12.1409997940063,18.67799949646,62.7131021417914,46.2212759410903
India,2008,57.9336057938146,17.3100958351778,0.0929657446414183,265079762588.038,,36.1679992675781,11.5659999847412,18.1270008087158,69.791684112838,50.0580207531158
India,2009,57.1269046014287,17.282726270637,0.808005014572416,267221620362.366,,34.4169998168945,11.3369998931885,17.2730007171631,72.3448350649252,48.7767855700767
India,2010,56.2623446967214,17.5173523891571,8.59729465178623,290195450438.197,,31.8320007324219,10.8730001449585,16.0750007629395,74.2567540386733,51.1351494472875
India,2011,55.5121639305217,17.1919735574898,5.01773439916174,304756687379.636,,32.1110000610352,10.7030000686646,15.918999671936,76.1459100050799,51.2892331325282
India,2012,54.6634111018054,16.8453770659702,1.48746049446102,309289822708.637,,31.5380001068115,10.3319997787476,15.4099998474121,77.1794747105651,51.8885076473311
India,2013,53.77575351246,17.148423543466,5.57047565635793,326518736990.214,,30.1119995117188,10.0699996948242,14.8909997940063,77.9168476433267,52.3857095169752
India,2014,52.9360971300418,16.7919345145807,-0.216448191220962,325811993090.001,,29.1189994812012,9.6870002746582,14.3909997940063,75.9081697292095,51.8821873589436
India,2015,52.1929971683597,16.1679868554202,0.591683179142422,327739767848.743,,27.9829998016357,9.25500011444092,13.8140001296997,75.6541113860352,51.8970550644177
India,2016,51.5228471113059,16.2845948141203,6.28583327135016,348340943219.625,,26.7749996185303,8.84700012207031,13.2440004348755,75.033801729654,49.5452998484093
Pakistan,2000,82.4380214051672,24.1396289861951,6.09385135654379,31980496577.6061,,50.1160011291504,16.7320003509521,21.3299999237061,41.6012108314069,22.3361005470045
Pakistan,2001,80.9918914538222,22.4543828281756,-2.17732827960559,31284176181.6636,,50.1230010986328,16.7320003509521,21.2910003662109,38.0854719370394,21.7755024914053
Pakistan,2002,79.1753196949209,21.7463786766275,0.103375873139981,31316516471.946,,46.8559989929199,16.3610000610352,20.6000003814697,37.2155348248483,21.6739499633252
Pakistan,2003,77.180603059703,21.7266709983986,4.14723921010302,32615287322.3089,,46.8639984130859,16.3600006103516,20.8400001525879,37.884092534982,24.5972842994408
Pakistan,2004,75.2841066294414,20.6494899460694,2.43231536216513,33408593966.2637,,52.7890014648438,18.3330001831055,23.7600002288818,43.0185814224778,28.7361228809803
Pakistan,2005,73.6304581717331,20.2196627517661,6.48285283095227,35574423945.987,,52.7849998474121,18.3339996337891,24.1310005187988,46.4828512710119,28.6455607280367
Pakistan,2006,72.1874922760654,21.6079774493194,6.2969448202311,37814525791.9809,26.9560712828897,59.2099990844727,19.1019992828369,26.4139995574951,42.1963301591011,26.8499883157095
Pakistan,2007,71.080690690931,21.8004724351841,3.42350167235006,39109106714.8606,31.8080450653489,61.8860015869141,18.5790004730225,26.6070003509521,45.4646460426681,27.843209788625
Pakistan,2008,70.1774958343356,22.5002660331506,1.80733882497105,39815940784.6177,31.9189346071762,64.9749984741211,19.6849994659424,28.2840003967285,51.2344005437887,28.7337801656211
Pakistan,2009,69.2906238854014,22.7173300134617,3.49760071898186,41208543415.7698,29.2970310716509,65.088996887207,16.181999206543,25.92799949646,46.6967126243116,22.7227865928929
Pakistan,2010,68.3512336783204,23.2815896365345,0.229545700062701,41303135855.2392,27.4517833985437,64.7040023803711,16.4230003356934,26.3659992218018,46.1867378320812,21.4129175458579
Pakistan,2011,67.8397673804336,25.1291827073544,1.96201186922809,42113508283.0824,26.7556835078637,61.8129997253418,15.2180004119873,24.9850006103516,42.708005921008,18.1263337413058
Pakistan,2012,67.1627633763306,23.710248671838,3.62213214996325,43638915206.0814,25.8751226883507,59.4070014953613,14.6230001449585,24.0259990692139,46.2244456052748,16.9400444781753
Pakistan,2013,66.4371452653485,23.8321164648607,2.67503711939803,44806272386.3467,24.624834640221,59.1619987487793,14.4420003890991,23.8509998321533,49.5110202914663,16.1155186278304
Pakistan,2014,65.8033388327894,23.7445401162272,2.49652975850923,45924874310.1505,23.9855797580953,53.3709983825684,13.5900001525879,22.1359996795654,47.4814107300327,15.5889529137955
Pakistan,2015,65.3008678001468,23.817063587239,2.13003283217006,46903089211.0896,22.2315830955997,53.1180000305176,12.9350004196167,21.5349998474121,48.7629486514095,15.3860745970032
Pakistan,2016,64.9711695440283,23.2151987886214,0.153947947428819,46975295554.2108,21.746042175012,54.6870002746582,14.9879999160767,23.5610008239746,52.3562277148463,16.525085530585
Saudi Arabia,2000,70.0645931066724,4.92105477899671,3.90790230448242,11185295626.6667,,0.287999987602234,0.345999985933304,0.337999999523163,34.5411245302013,24.235614357343
Saudi Arabia,2001,67.3276197575101,5.17120895987287,0.565497197790037,11248548160,,0.256999999284744,0.30799999833107,0.300999999046326,39.1181364504366,27.0904993276172
Saudi Arabia,2002,64.8285400223515,5.07733794448387,1.2853411060413,11393130373.3333,,0.254999995231628,0.305000007152557,0.29899999499321,40.7154063028639,28.9483894791843
Saudi Arabia,2003,62.5186852258413,4.5045050210361,0.814729317506931,11485953546.6667,,0.282000005245209,0.337000012397766,0.330000013113022,43.0636207155112,28.2333203588827
Saudi Arabia,2004,60.3335788033712,3.90112987654117,3.58295256022603,11897489813.3333,89.8838461021969,0.0570000000298023,0.0500000007450581,0.0509999990463257,40.351419843489,32.3542594274042
Saudi Arabia,2005,58.2621994937602,3.22082662006173,1.05952500886977,12023546693.3333,108.68934103798,0.068000003695488,0.0590000003576279,0.0599999986588955,28.8240602029135,35.4189179790554
Saudi Arabia,2006,56.1419088822935,2.94858415675339,1.00988615447935,12144970826.6667,135.436802330097,0.0689999982714653,0.0599999986588955,0.0610000006854534,21.3040348114157,33.7245867667594
Saudi Arabia,2007,54.0437588611901,2.7701598702101,1.94851133617983,12381616960,146.357373319351,0.0689999982714653,0.0590000003576279,0.0599999986588955,16.1031133666533,37.071588765142
Saudi Arabia,2008,52.066213080413,2.31685407323272,1.32899626275199,12546168186.6667,171.028070771103,0.0780000016093254,0.0670000016689301,0.068000003695488,-3.65280827687537,37.6843188466467
Saudi Arabia,2009,50.2945715860731,2.85411191355259,1.03126881510724,12675552906.6667,167.15745571676,0.0520000010728836,0.0430000014603138,0.0439999997615814,0.523786648205196,45.6298013133911
Saudi Arabia,2010,48.7380786724506,2.64027702260275,10.0238659096158,13946133333.3333,167.754787489276,0.0570000000298023,0.0480000004172325,0.0489999987185001,-0.12472888164594,39.1642133869688
Saudi Arabia,2011,46.6193865604564,2.17142778334318,4.33455562354202,14550636240,172.670308168322,0.0670000016689301,0.0570000000298023,0.0579999983310699,-4.10205360915813,34.1007294458148
Saudi Arabia,2012,44.7746384386631,2.07934643483201,2.80548043810718,14958851493.3333,160.557691569735,0.0640000030398369,0.0540000014007092,0.0549999997019768,-10.1518294917389,36.3391798709229
Saudi Arabia,2013,43.2141764476399,2.15730645378212,3.28151895140769,15449729040,168.241991038841,0.0579999983310699,0.0480000004172325,0.0489999987185001,-7.86155272616559,40.2187357911617
Saudi Arabia,2014,41.9454772613301,2.22697502456624,2.4942732156378,15835087493.3333,173.680878051487,0.0520000010728836,0.0430000014603138,0.0439999997615814,1.76515842343929,44.2902349131025
Saudi Arabia,2015,40.9479572242299,2.61938789955033,0.61006832689749,15931692346.6667,168.201546438724,0.0370000004768372,0.0350000001490116,0.0350000001490116,20.5006868614088,55.9167833720289
Saudi Arabia,2016,40.2495097563782,2.68562239483454,0.633552781485378,16032628026.6667,166.232107431781,0.034000001847744,0.0320000015199184,0.0320000015199184,34.0594537566643,58.1144945652296
United States,2000,51.5624620976225,1.14976850742247,14.9992020002555,136380738900,,0.144999995827675,0.0780000016093254,0.108000002801418,190.962274914862,162.085378289276
United States,2001,51.1140239170412,1.12828384277503,-5.15788347880846,129346379300,,0.144999995827675,0.0689999982714653,0.104000002145767,198.608487170594,170.207733417783
United States,2002,50.7600602979035,0.969255589198064,-0.0978621130989836,129219798200,,0.129999995231628,0.0649999976158142,0.0949999988079071,191.805270430628,161.688212870436
United States,2003,50.4381652341181,1.13004783387935,10.1258822427104,142304442800,,0.140000000596046,0.061999998986721,0.0979999974370003,206.598919215092,176.564491581966
United States,2004,50.0696858118363,1.25131951079469,4.14590928007203,148204255900,,0.123000003397465,0.063000001013279,0.0900000035762787,212.935938730401,183.936318381261
United States,2005,49.6429620733214,1.14001249147874,8.87382020181245,161355635100,,0.123000003397465,0.068000003695488,0.0930000022053719,216.345981236067,187.847508821729
United States,2006,49.6442760220028,1.02191846527628,1.46726087287421,163723143200,,0.115000002086163,0.0500000007450581,0.0799999982118607,226.340051909573,197.707120347157
United States,2007,49.5511611464473,1.05165988091287,-14.8999233237296,139328520400,,0.141000002622604,0.0579999983310699,0.096000000834465,235.909626266845,206.302776973011
United States,2008,49.4474294033267,1.11575928306137,6.39937212740256,148244670900,,0.120999999344349,0.0649999976158142,0.090999998152256,216.777837987191,188.024095326514
United States,2009,49.4417545030229,1.02489290498982,13.3420682038156,168023576000,,0.090999998152256,0.0560000017285347,0.0719999969005585,234.403447836477,191.840044857096
United States,2010,49.5758853584682,1.13841175560191,1.38825399121372,170356170000,,0.108999997377396,0.0740000009536743,0.090999998152256,231.430252064869,187.211747955687
United States,2011,49.7700995186633,1.32444639186964,-5.41617852761071,161129375700,,0.108000002801418,0.0610000006854534,0.0829999968409538,231.02593255694,177.853644934612
United States,2012,50.0098349319469,1.20242882579074,-8.12108471416364,148043922600,,0.0970000028610229,0.0719999969005585,0.0839999988675117,233.517842349451,179.064858472631
United States,2013,50.3196749076148,1.38033311771482,19.3914551815584,176751793500,,0.090999998152256,0.0649999976158142,0.0769999995827675,247.462286242368,192.529454296889
United States,2014,50.7077211515286,1.2176169375845,1.22867030483627,178923490300,,0.0850000008940697,0.0509999990463257,0.0670000016689301,250.60130954964,194.231613856856
United States,2015,51.1789017097804,1.06993627844907,8.10370911929388,193422929500,,0.0970000028610229,0.0549999997019768,0.0740000009536743,235.954606351769,188.203731319098
United States,2016,51.6523481467354,1.01445991363515,11.2814705869709,215243880400,,0.0829999968409538,0.0520000010728836,0.0659999996423721,241.891277885599,192.165499849647
Qatar,2000,37.7624622312575,0.372799554496798,..,85541139.5327362,,0.0379999987781048,0.0480000004172325,0.0469999983906746,40.0864709340098,26.848992977137
Qatar,2001,35.3384085474211,0.37593984962406,0,85541139.5327362,,0.0359999984502792,0.0469999983906746,0.0450000017881393,59.059063283208,34.8932847744361
Qatar,2002,33.40282484008,0.256795868565916,-25.5072463768116,63721950.318589,,0.0160000007599592,0.0469999983906746,0.0419999994337559,56.1297273140003,28.678248964304
